TableName,FieldName,Position
CONTEST_COMPONENT,COMPONENT_ID,2
CONTEST_PARTY,CONTEST_ID,1
CONTEST_PARTY,BUSINESS_ASSOCIATE,2
CONTEST_PARTY,BA_OBS_NO,3
CONTEST_REMARK,CONTEST_ID,1
CONTEST_REMARK,REMARK_ID,2
CONTRACT,CONTRACT_ID,1
CONTRACT_COMPONENT,CONTRACT_ID,1
CONTRACT_COMPONENT,COMPONENT_ID,2
CONT_ACCOUNT_PROC,CONTRACT_ID,1
CONT_ACCOUNT_PROC,ACCOUNT_PROC_TYPE,2
CONT_ACCOUNT_PROC,ACCOUNT_PROC_OBS_NO,3
CONT_ALIAS,CONTRACT_ID,1
CONT_ALIAS,ALIAS_ID,2
CONT_ALLOW_EXPENSE,CONTRACT_ID,1
CONT_ALLOW_EXPENSE,ALLOW_EXPENSE_TYPE,2
CONT_ALLOW_EXPENSE,ALLOW_EXPENSE_OBS_NO,3
CONT_AREA,CONTRACT_ID,1
CONT_AREA,AREA_ID,2
CONT_AREA,AREA_TYPE,3
CONT_BA,CONTRACT_ID,1
CONT_BA,BUSINESS_ASSOCIATE,2
CONT_BA,ROLE_OBS_NO,3
CONT_BA_SERVICE,CONTRACT_ID,1
CONT_BA_SERVICE,PROVIDED_BY,2
CONT_BA_SERVICE,SERVICE_SEQ_NO,3
CONT_EXEMPTION,CONTRACT_ID,1
CONT_EXEMPTION,BUSINESS_ASSOCIATE,2
CONT_EXEMPTION,EXEMPTION_ID,3
CONT_EXTENSION,CONTRACT_ID,1
CONT_EXTENSION,EXTENSION_ID,2
CONT_JURISDICTION,CONTRACT_ID,1
CONT_JURISDICTION,JURISDICTION,2
CONT_KEY_WORD,CONTRACT_ID,1
CONT_KEY_WORD,PROVISION_ID,2
CONT_KEY_WORD,KEY_WORD,3
CONT_MKTG_ELECT_SUBST,CONTRACT_ID,1
CONT_MKTG_ELECT_SUBST,OPERATING_PROCEDURE_ID,2
CONT_MKTG_ELECT_SUBST,SUBSTANCE_ID,3
CONT_MKTG_ELECT_SUBST,SUBSTANCE_OBS_NO,4
CONT_OPER_PROC,CONTRACT_ID,1
CONT_OPER_PROC,OPERATING_PROCEDURE_ID,2
CONT_PROVISION,CONTRACT_ID,1
CONT_PROVISION,PROVISION_ID,2
CONT_PROVISION_TEXT,CONTRACT_ID,1
CONT_PROVISION_TEXT,PROVISION_ID,2
CONT_PROVISION_TEXT,PROVISION_TEXT_SEQ_NO,3
CONT_PROVISION_XREF,CONTRACT_ID,1
CONT_PROVISION_XREF,PROVISION_ID,2
CONT_PROVISION_XREF,CONTRACT_ID_2,3
CONT_PROVISION_XREF,PROVISION_ID_2,4
CONT_REMARK,CONTRACT_ID,1
CONT_REMARK,REMARK_ID,2
CONT_REMARK,REMARK_SEQ_NO,3
CONT_STATUS,CONTRACT_ID,1
CONT_STATUS,STATUS_ID,2
CONT_TYPE,CONTRACT_ID,1
CONT_TYPE,CONTRACT_TYPE,2
CONT_VOTING_PROC,CONTRACT_ID,1
CONT_VOTING_PROC,VOTING_PROCEDURE_ID,2
CONT_XREF,CONTRACT_ID,1
CONT_XREF,CONTRACT_ID_2,2
CS_ALIAS,COORD_SYSTEM_ID,1
CS_ALIAS,COORD_SYSTEM_ALIAS_ID,2
CS_COORDINATE_SYSTEM,COORD_SYSTEM_ID,1
CS_COORD_ACQUISITION,ACQUISITION_ID,1
CS_COORD_TRANSFORM,TRANSFORM_ID,1
CS_COORD_TRANS_PARM,TRANSFORM_TYPE,1
CS_COORD_TRANS_PARM,PARAMETER_ID,2
CS_COORD_TRANS_VALUE,TRANSFORM_ID,1
CS_COORD_TRANS_VALUE,TRANSFORM_TYPE,2
CS_COORD_TRANS_VALUE,PARAMETER_ID,3
CS_COORD_TRANS_VALUE,VALUE_ID,4
CS_ELLIPSOID,ELLIPSOID_ID,1
CS_GEODETIC_DATUM,GEODETIC_DATUM,1
CS_PRIME_MERIDIAN,PRIME_MERIDIAN_ID,1
CS_PRINCIPAL_MERIDIAN,PRINCIPAL_MERIDIAN,1
DEMO_CONSTRAINT_LOOKUP,CONSTRAINT_NAME,1
DEMO_CUSTOMERS,CUSTOMER_ID,1
DEMO_ORDERS,ORDER_ID,1
DEMO_ORDER_ITEMS,ORDER_ITEM_ID,1
DEMO_PRODUCT_INFO,PRODUCT_ID,1
DEMO_TAGS,ID,1
DEMO_TAGS_SUM,TAG,1
DEMO_TAGS_TYPE_SUM,TAG,1
DEMO_TAGS_TYPE_SUM,CONTENT_TYPE,2
DEPT,DEPTNO,1
ECOZONE,ECOZONE_ID,1
ECOZONE_ALIAS,ECOZONE_ID,1
ECOZONE_ALIAS,ECOZONE_ALIAS_ID,2
ECOZONE_HIERARCHY,ECOZONE_SET_ID,1
ECOZONE_HIERARCHY,PARENT_ECOZONE_ID,2
ECOZONE_HIERARCHY,CHILD_ECOZONE_ID,3
ECOZONE_SET,ECOZONE_SET_ID,1
ECOZONE_SET_PART,ECOZONE_SET_ID,1
ECOZONE_SET_PART,ECOZONE_ID,2
ECOZONE_XREF,ECOZONE_ID1,1
ECOZONE_XREF,ECOZONE_ID2,2
ECOZONE_XREF,ECOZONE_XREF_ID,3
EMP,EMPNO,1
ENTITLEMENT,ENTITLEMENT_ID,1
ENT_COMPONENT,ENTITLEMENT_ID,1
ENT_COMPONENT,COMPONENT_ID,2
ENT_COMPONENT,COMPONENT_OBS_NO,3
ENT_GROUP,ENTITLEMENT_ID,1
ENT_GROUP,SECURITY_GROUP_ID,2
ENT_GROUP,GROUP_OBS_NO,3
ENT_SECURITY_BA,SECURITY_GROUP_ID,1
ENT_SECURITY_BA,BUSINESS_ASSOCIATE,2
ENT_SECURITY_BA,BA_OBS_NO,3
ENT_SECURITY_GROUP,SECURITY_GROUP_ID,1
ENT_SECURITY_GROUP_XREF,SECURITY_GROUP_ID1,1
ENT_SECURITY_GROUP_XREF,SECURITY_GROUP_ID2,2
ENT_SECURITY_GROUP_XREF,XREF_OBS_NO,3
EQUIPMENT,EQUIPMENT_ID,1
EQUIPMENT_ALIAS,EQUIPMENT_ID,1
EQUIPMENT_ALIAS,EQUIP_ALIAS_ID,2
EQUIPMENT_BA,EQUIPMENT_ID,1
EQUIPMENT_BA,BA_OBS_NO,2
EQUIPMENT_COMPONENT,EQUIPMENT_ID,1
EQUIPMENT_COMPONENT,COMPONENT_OBS_NO,2
EQUIPMENT_MAINTAIN,EQUIPMENT_ID,1
EQUIPMENT_MAINTAIN,EQUIP_MAINT_ID,2
EQUIPMENT_MAINT_STATUS,EQUIPMENT_ID,1
EQUIPMENT_MAINT_STATUS,EQUIP_MAINT_ID,2
EQUIPMENT_MAINT_STATUS,STATUS_ID,3
EQUIPMENT_MAINT_TYPE,CATALOGUE_EQUIP_ID,1
EQUIPMENT_MAINT_TYPE,MAINT_TYPE,2
EQUIPMENT_SPEC,EQUIPMENT_ID,1
EQUIPMENT_SPEC,SPEC_SET_ID,2
EQUIPMENT_SPEC,SPEC_ID,3
EQUIPMENT_SPEC_SET,SPEC_SET_ID,1
EQUIPMENT_SPEC_SET_SPEC,SPEC_SET_ID,1
EQUIPMENT_SPEC_SET_SPEC,SPEC_TYPE,2
EQUIPMENT_STATUS,EQUIPMENT_ID,1
EQUIPMENT_STATUS,EQUIP_STATUS_ID,2
EQUIPMENT_USE_STAT,EQUIPMENT_ID,1
EQUIPMENT_USE_STAT,SPEC_ID,2
EQUIPMENT_XREF,EQUIPMENT_ID,1
EQUIPMENT_XREF,EQUIPMENT_PART_ID,2
EQUIPMENT_XREF,EQUIPMENT_XREF_OBS_NO,3
ETL_LOADINGTEMPLETE,ID,1
ETL_VALUEMAPPING_DTL,ID,1
ETL_VALUEMAPPING_HDR,ID,1
ETL_WORKFLOWSTEPS,ID,1
ETL_WORKSHEETS_DTL,ID,1
ETL_WORKSHEETS_HDR,ID,1
FACILITY,FACILITY_ID,1
FACILITY,FACILITY_TYPE,2
FACILITY_ALIAS,FACILITY_ID,1
FACILITY_ALIAS,FACILITY_TYPE,2
FACILITY_ALIAS,FACILITY_ALIAS_ID,3
FACILITY_ALIAS,SOURCE,4
FACILITY_AREA,FACILITY_TYPE,1
FACILITY_AREA,FACILITY_ID,2
FACILITY_AREA,AREA_ID,3
FACILITY_AREA,AREA_TYPE,4
FACILITY_BA_SERVICE,FACILITY_ID,1
FACILITY_BA_SERVICE,FACILITY_TYPE,2
FACILITY_BA_SERVICE,PROVIDED_BY,3
FACILITY_BA_SERVICE,SERVICE_SEQ_NO,4
FACILITY_CLASS,FACILITY_ID,1
FACILITY_CLASS,FACILITY_TYPE,2
FACILITY_CLASS,FACILITY_CLASS_TYPE,3
FACILITY_CLASS,FACILITY_CLASS_SEQ_NO,4
FACILITY_COMPONENT,FACILITY_ID,1
FACILITY_COMPONENT,FACILITY_TYPE,2
FACILITY_COMPONENT,COMPONENT_OBS_NO,3
FACILITY_DESCRIPTION,FACILITY_ID,1
FACILITY_DESCRIPTION,FACILITY_TYPE,2
FACILITY_DESCRIPTION,SPEC_ID,3
FACILITY_EQUIPMENT,FACILITY_ID,1
FACILITY_EQUIPMENT,FACILITY_TYPE,2
FACILITY_EQUIPMENT,EQUIPMENT_ID,3
FACILITY_EQUIPMENT,INSTALL_OBS_NO,4
FACILITY_FIELD,FACILITY_ID,1
FACILITY_FIELD,FACILITY_TYPE,2
FACILITY_FIELD,FIELD_ID,3
FACILITY_LICENSE,FACILITY_ID,1
FACILITY_LICENSE,FACILITY_TYPE,2
FACILITY_LICENSE,LICENSE_ID,3
FACILITY_LIC_ALIAS,FACILITY_ID,1
FACILITY_LIC_ALIAS,FACILITY_TYPE,2
FACILITY_LIC_ALIAS,LICENSE_ID,3
FACILITY_LIC_ALIAS,ALIAS_ID,4
FACILITY_LIC_AREA,FACILITY_ID,1
