OWNER,TABLE_NAME,COLUMN_NAME,POSITION,R_OWNER,R_TABLE_NAME,R_COLUMN_NAME,CONSTRAINT_NAME,DELETE_RULE
PPDM,APPLICATION_COMPONENT,LITH_LOG_SOURCE,2,PPDM,LITH_LOG,LITH_LOG_SOURCE,APPC_LIL_FK,NO ACTION
PPDM,APPLICATION_COMPONENT,LITHOLOGY_LOG_ID,1,PPDM,LITH_LOG,LITHOLOGY_LOG_ID,APPC_LIL_FK,NO ACTION
PPDM,APPLICATION_COMPONENT,APPLICATION_ID,1,PPDM,APPLICATION,APPLICATION_ID,APPC_APP_FK,NO ACTION
PPDM,APPLICATION_COMPONENT,UWI,1,PPDM,WELL,UWI,APPC_W_FK,NO ACTION
PPDM,APPLICATION_COMPONENT,WORK_ORDER_ID,1,PPDM,WORK_ORDER,WORK_ORDER_ID,APPC_WO_FK,NO ACTION
PPDM,APPLICATION_COMPONENT,WELL_ACTIVITY_UWI,1,PPDM,WELL_ACTIVITY,UWI,APPC_WAC_FK,NO ACTION
PPDM,APPLICATION_COMPONENT,WELL_ACTIVITY_SOURCE,2,PPDM,WELL_ACTIVITY,SOURCE,APPC_WAC_FK,NO ACTION
PPDM,APPLICATION_COMPONENT,ACTIVITY_OBS_NO,3,PPDM,WELL_ACTIVITY,ACTIVITY_OBS_NO,APPC_WAC_FK,NO ACTION
PPDM,APPLICATION_COMPONENT,STRAT_UNIT_ID,2,PPDM,STRAT_UNIT,STRAT_UNIT_ID,APPC_STU_FK,NO ACTION
PPDM,APPLICATION_COMPONENT,STRAT_NAME_SET_ID,1,PPDM,STRAT_UNIT,STRAT_NAME_SET_ID,APPC_STU_FK,NO ACTION
PPDM,APPLICATION_COMPONENT,SEIS_SET_TYPE,2,PPDM,SEIS_SET,SEIS_SET_TYPE,APPC_SS_FK,NO ACTION
PPDM,APPLICATION_COMPONENT,SEIS_SET_ID,1,PPDM,SEIS_SET,SEIS_SET_ID,APPC_SS_FK,NO ACTION
PPDM,APPLICATION_COMPONENT,SPATIAL_OBS_NO,2,PPDM,SPATIAL_DESCRIPTION,SPATIAL_OBS_NO,APPC_SPD_FK,NO ACTION
PPDM,APPLICATION_COMPONENT,SPATIAL_DESCRIPTION_ID,1,PPDM,SPATIAL_DESCRIPTION,SPATIAL_DESCRIPTION_ID,APPC_SPD_FK,NO ACTION
PPDM,APPLICATION_COMPONENT,SUPPORT_FACILITY_ID,1,PPDM,SF_SUPPORT_FACILITY,SUPPORT_FACILITY_ID,APPC_SF_FK,NO ACTION
PPDM,APPLICATION_COMPONENT,SF_TYPE,2,PPDM,SF_SUPPORT_FACILITY,SF_TYPE,APPC_SF_FK,NO ACTION
PPDM,APPLICATION_COMPONENT,SAMPLE_ANAL_SOURCE,2,PPDM,SAMPLE_ANALYSIS,SOURCE,APPC_SA_FK,NO ACTION
PPDM,APPLICATION_COMPONENT,ANALYSIS_ID,1,PPDM,SAMPLE_ANALYSIS,ANALYSIS_ID,APPC_SA_FK,NO ACTION
PPDM,APPLICATION_COMPONENT,STORE_STRUCTURE_OBS_NO,2,PPDM,RM_DATA_STORE_STRUCTURE,STRUCTURE_OBS_NO,APPC_RMDSS_FK,NO ACTION
PPDM,APPLICATION_COMPONENT,STORE_ID,1,PPDM,RM_DATA_STORE_STRUCTURE,STORE_ID,APPC_RMDSS_FK,NO ACTION
PPDM,APPLICATION_COMPONENT,RATE_SCHEDULE_ID,1,PPDM,RATE_SCHEDULE,RATE_SCHEDULE_ID,APPC_RATE_FK,NO ACTION
PPDM,APPLICATION_COMPONENT,PPDM_TABLE_NAME,2,PPDM,PPDM_TABLE,TABLE_NAME,APPC_PT_FK,NO ACTION
PPDM,APPLICATION_COMPONENT,PPDM_SYSTEM_ID,1,PPDM,PPDM_TABLE,SYSTEM_ID,APPC_PT_FK,NO ACTION
PPDM,APPLICATION_COMPONENT,STRING_ID,3,PPDM,PROD_STRING,STRING_ID,APPC_PS_FK,NO ACTION
PPDM,APPLICATION_COMPONENT,PR_STR_UWI,1,PPDM,PROD_STRING,UWI,APPC_PS_FK,NO ACTION
PPDM,APPLICATION_COMPONENT,PR_STR_SOURCE,2,PPDM,PROD_STRING,SOURCE,APPC_PS_FK,NO ACTION
PPDM,APPLICATION_COMPONENT,PPDM_SYSTEM_ID,1,PPDM,PPDM_SYSTEM,SYSTEM_ID,APPC_PSYS_FK,NO ACTION
PPDM,APPLICATION_COMPONENT,PROJECT_ID,1,PPDM,PROJECT,PROJECT_ID,APPC_PROJ_FK,NO ACTION
PPDM,APPLICATION_COMPONENT,CONTRACT_ID,1,PPDM,CONTRACT,CONTRACT_ID,APPC_C_FK,NO ACTION
PPDM,APPLICATION_COMPONENT,CONTEST_ID,1,PPDM,CONTEST,CONTEST_ID,APPC_COT_FK,NO ACTION
PPDM,APPLICATION_COMPONENT,CLASS_LEVEL_ID,2,PPDM,CLASS_LEVEL,CLASS_LEVEL_ID,APPC_CLSL_FK,NO ACTION
PPDM,APPLICATION_COMPONENT,CLASSIFICATION_SYSTEM_ID,1,PPDM,CLASS_LEVEL,CLASSIFICATION_SYSTEM_ID,APPC_CLSL_FK,NO ACTION
PPDM,APPLICATION_COMPONENT,CATALOGUE_EQUIP_ID,1,PPDM,CAT_EQUIPMENT,CATALOGUE_EQUIP_ID,APPC_CEQ_FK,NO ACTION
PPDM,APPLICATION_COMPONENT,BUSINESS_ASSOCIATE,1,PPDM,BUSINESS_ASSOCIATE,BUSINESS_ASSOCIATE,APPC_BA_FK,NO ACTION
PPDM,APPLIC_ALIAS,OWNER_BA_ID,1,PPDM,BUSINESS_ASSOCIATE,BUSINESS_ASSOCIATE,APPAL_BA_FK,NO ACTION
PPDM,APPLIC_ALIAS,SW_APPLICATION_ID,1,PPDM,R_SW_APPLICATION,SW_APPLICATION_ID,APPAL_R_SA_FK,NO ACTION
PPDM,APPLIC_ALIAS,APPLICATION_ID,1,PPDM,APPLICATION,APPLICATION_ID,APPAL_APP_FK,NO ACTION
PPDM,APPLIC_ALIAS,SOURCE_DOCUMENT,1,PPDM,SOURCE_DOCUMENT,SOURCE_DOCUMENT,APPAL_SRCD_FK,NO ACTION
PPDM,APPLIC_ALIAS,LANGUAGE_ID,1,PPDM,R_LANGUAGE,LANGUAGE_ID,APPAL_R_LANG_FK,NO ACTION
PPDM,APPLIC_ALIAS,ALIAS_REASON_TYPE,1,PPDM,R_ALIAS_REASON_TYPE,REASON_TYPE,APPAL_R_ART_FK,NO ACTION
PPDM,APPLIC_ALIAS,ALIAS_TYPE,1,PPDM,R_ALIAS_TYPE,ALIAS_TYPE,APPAL_R_ATY_FK,NO ACTION
PPDM,APPLIC_AREA,AREA_TYPE,2,PPDM,AREA,AREA_TYPE,APPA_A_FK,NO ACTION
PPDM,APPLIC_AREA,AREA_ID,1,PPDM,AREA,AREA_ID,APPA_A_FK,NO ACTION
PPDM,APPLIC_AREA,APPLICATION_ID,1,PPDM,APPLICATION,APPLICATION_ID,APPA_APP_FK,NO ACTION
PPDM,APPLIC_ATTACH,SENT_BY,1,PPDM,BUSINESS_ASSOCIATE,BUSINESS_ASSOCIATE,APPT_BA_FK,NO ACTION
PPDM,APPLIC_ATTACH,APPLICATION_ID,1,PPDM,APPLICATION,APPLICATION_ID,APPT_APP_FK,NO ACTION
PPDM,APPLIC_ATTACH,ATTACHMENT_TYPE,1,PPDM,R_APPLIC_ATTACHMENT,ATTACHMENT_TYPE,APPT_R_AA_FK,NO ACTION
PPDM,APPLIC_ATTACH,PHYSICAL_ITEM_ID,1,PPDM,RM_PHYSICAL_ITEM,PHYSICAL_ITEM_ID,APPT_RMPI_FK,NO ACTION
