OWNER,TABLE_NAME,COLUMN_NAME,POSITION,R_OWNER,R_TABLE_NAME,R_COLUMN_NAME,CONSTRAINT_NAME,DELETE_RULE,ID
PPDM,FACILITY_SUBSTANCE,CAPACITY_UOM,1,PPDM,PPDM_UNIT_OF_MEASURE,UOM_ID,FACSU_UOM_FK,NO ACTION,10800
PPDM,FOSSIL_DESC,MAX_VALUE_UOM,1,PPDM,PPDM_UNIT_OF_MEASURE,UOM_ID,FOSD_UOM_FK,NO ACTION,10801
PPDM,FOSSIL_DESC,MIN_VALUE_UOM,1,PPDM,PPDM_UNIT_OF_MEASURE,UOM_ID,FOSD_UOM_FK1,NO ACTION,10802
PPDM,HSE_INCIDENT,INCIDENT_DURATION_UOM,1,PPDM,PPDM_UNIT_OF_MEASURE,UOM_ID,HI_UOM_FK,NO ACTION,10803
PPDM,HSE_INCIDENT_COMPONENT,TOTAL_INCIDENT_PERIOD_UOM,1,PPDM,PPDM_UNIT_OF_MEASURE,UOM_ID,HICOM_UOM_FK,NO ACTION,10804
PPDM,HSE_INCIDENT_DETAIL,INCIDENT_DURATION_UOM,1,PPDM,PPDM_UNIT_OF_MEASURE,UOM_ID,HID_UOM_FK,NO ACTION,10805
PPDM,HSE_INCIDENT_SUBSTANCE,VOLUME_UOM,1,PPDM,PPDM_UNIT_OF_MEASURE,UOM_ID,HISU_UOM_FK,NO ACTION,10806
PPDM,INSTRUMENT_DETAIL,MAX_VALUE_UOM,1,PPDM,PPDM_UNIT_OF_MEASURE,UOM_ID,INSD_UOM_FK,NO ACTION,10807
PPDM,INSTRUMENT_DETAIL,MIN_VALUE_UOM,1,PPDM,PPDM_UNIT_OF_MEASURE,UOM_ID,INSD_UOM_FK1,NO ACTION,10808
PPDM,INSTRUMENT_DETAIL,REFERENCE_VALUE_UOM,1,PPDM,PPDM_UNIT_OF_MEASURE,UOM_ID,INSD_UOM_FK2,NO ACTION,10809
PPDM,INSTRUMENT_DETAIL,CURRENCY_UOM,1,PPDM,PPDM_UNIT_OF_MEASURE,UOM_ID,INSD_UOM_FK3,NO ACTION,10810
PPDM,INSTRUMENT_DETAIL,AVERAGE_VALUE_UOM,1,PPDM,PPDM_UNIT_OF_MEASURE,UOM_ID,INSD_UOM_FK4,NO ACTION,10811
PPDM,LAND_SALE_WORK_BID,WORK_BID_COUNT_UOM,1,PPDM,PPDM_UNIT_OF_MEASURE,UOM_ID,LSWB_UOM_FK,NO ACTION,10812
PPDM,LITH_DESC_OTHER,DESCRIPTION_VALUE_UOM,1,PPDM,PPDM_UNIT_OF_MEASURE,UOM_ID,LIDO_UOM_FK,NO ACTION,10813
PPDM,OBLIG_PAYMENT,CURRENCY_UOM,1,PPDM,PPDM_UNIT_OF_MEASURE,UOM_ID,OBP_UOM_FK,NO ACTION,10814
PPDM,PDEN_FLOW_MEASUREMENT,PRODUCTION_VOLUMN_UOM,1,PPDM,PPDM_UNIT_OF_MEASURE,UOM_ID,PDENFM_UOM_FK,NO ACTION,10815
PPDM,PDEN_MATERIAL_BAL,CUM_VOLUME_UOM,1,PPDM,PPDM_UNIT_OF_MEASURE,UOM_ID,PDENMB_UOM_FK,NO ACTION,10816
PPDM,PDEN_MATERIAL_BAL,INITIAL_CUM_VOLUME_UOM,1,PPDM,PPDM_UNIT_OF_MEASURE,UOM_ID,PDENMB_UOM_FK1,NO ACTION,10817
PPDM,PDEN_MATERIAL_BAL,VOLUME_UOM,1,PPDM,PPDM_UNIT_OF_MEASURE,UOM_ID,PDENMB_UOM_FK2,NO ACTION,10818
