id,TABLE_NAME,COLUMN_NAME,SOURCETABLENAME,SOURCECOLUMNNAME
358,R_SOURCE,SOURCE,R_SEIS_STATUS,SOURCE
359,R_SOURCE,SOURCE,R_SEIS_SWEEP_TYPE,SOURCE
360,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_SF_AIRSTRIP_TYPE,ROW_QUALITY
361,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_SF_COMPONENT_TYPE,ROW_QUALITY
362,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_SF_DESC_TYPE,ROW_QUALITY
363,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_SF_TOWER_TYPE,ROW_QUALITY
364,R_SOURCE,SOURCE,R_SF_XREF_TYPE,SOURCE
365,R_SOURCE,SOURCE,R_SPATIAL_DESC_COMP_TYPE,SOURCE
366,R_SOURCE,SOURCE,R_STRAT_ALIAS_TYPE,SOURCE
367,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_STRAT_CORR_TYPE,ROW_QUALITY
368,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_STRAT_DESC_TYPE,ROW_QUALITY
369,R_SOURCE,SOURCE,R_STRAT_INTERP_METHOD,SOURCE
370,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_STRAT_NAME_SET_TYPE,ROW_QUALITY
371,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_STRAT_UNIT_COMP_TYPE,ROW_QUALITY
372,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_STREAMER_COMP,ROW_QUALITY
373,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_TEST_PERIOD_TYPE,ROW_QUALITY
374,R_SOURCE,SOURCE,R_TEST_RECOV_METHOD,SOURCE
375,R_SOURCE,SOURCE,R_TIMEZONE,SOURCE
376,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_TRACE_HEADER_FORMAT,ROW_QUALITY
377,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_TRANS_COMP_TYPE,ROW_QUALITY
378,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_TREATMENT_FLUID,ROW_QUALITY
379,R_SOURCE,SOURCE,R_TREATMENT_FLUID,SOURCE
380,R_SOURCE,SOURCE,R_TUBING_GRADE,SOURCE
381,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_VELOCITY_COMPUTE,ROW_QUALITY
382,R_SOURCE,SOURCE,R_VELOCITY_COMPUTE,SOURCE
383,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_VERTICAL_DATUM_TYPE,ROW_QUALITY
384,R_SOURCE,SOURCE,R_VESSEL_REFERENCE,SOURCE
385,R_WELL_ACTIVITY_CAUSE,CAUSE_TYPE,R_WELL_ACTIVITY_CAUSE,PARENT_CAUSE_TYPE
386,R_SOURCE,SOURCE,R_WELL_ACT_TYPE_EQUIV,SOURCE
387,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_WELL_ALIAS_LOCATION,ROW_QUALITY
388,R_SOURCE,SOURCE,R_WELL_LIC_COND_CODE,SOURCE
389,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_WELL_LIC_DUE_CONDITION,ROW_QUALITY
390,R_SOURCE,SOURCE,R_WELL_LIC_DUE_CONDITION,SOURCE
391,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_WELL_PROFILE_TYPE,ROW_QUALITY
392,R_SOURCE,SOURCE,R_WELL_PROFILE_TYPE,SOURCE
393,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_WELL_SF_USE_TYPE,ROW_QUALITY
394,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_WELL_STATUS,ROW_QUALITY
395,R_STATUS_GROUP,STATUS_GROUP,R_WELL_STATUS,STATUS_GROUP
396,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_WIND_STRENGTH,ROW_QUALITY
397,R_SOURCE,SOURCE,R_WO_INSTRUCTION,SOURCE
398,R_SOURCE,SOURCE,R_WO_TYPE,SOURCE
399,R_SOURCE,SOURCE,R_ACTIVITY_TYPE,SOURCE
400,R_SOURCE,SOURCE,R_ADDITIVE_METHOD,SOURCE
401,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_ADDITIVE_METHOD,ROW_QUALITY
402,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_AIRCRAFT_TYPE,ROW_QUALITY
403,R_SOURCE,SOURCE,R_ALIAS_REASON_TYPE,SOURCE
404,R_SOURCE,SOURCE,R_ANALYSIS_PROPERTY,SOURCE
405,R_ANALYSIS_PROPERTY,ANALYSIS_PROPERTY,R_ANAL_PROPERTY_CODE,ANALYSIS_PROPERTY
406,R_SOURCE,SOURCE,R_AOF_ANALYSIS_TYPE,SOURCE
407,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_API_LOG_SYSTEM,ROW_QUALITY
408,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_APPLIC_DECISION,ROW_QUALITY
409,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_AREA_TYPE,ROW_QUALITY
410,R_SOURCE,SOURCE,R_BIT_REASON_PULLED,SOURCE
411,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_CAT_EQUIP_SPEC_CODE,ROW_QUALITY
412,R_SOURCE,SOURCE,R_CAT_EQUIP_TYPE,SOURCE
413,R_SOURCE,SOURCE,R_CODE_VERSION_XREF_TYPE,SOURCE
414,R_COMPLETION_STATUS_TYPE,STATUS_TYPE,R_COMPLETION_STATUS,STATUS_TYPE
415,R_SOURCE,SOURCE,R_CONDITION_TYPE,SOURCE
416,R_SOURCE,SOURCE,R_CONFORMITY_RELATION,SOURCE
417,R_SOURCE,SOURCE,R_CONSULT_COMP_TYPE,SOURCE
418,R_SOURCE,SOURCE,R_CONSULT_REASON,SOURCE
419,R_SOURCE,SOURCE,R_CONTAMINANT_TYPE,SOURCE
420,R_SOURCE,SOURCE,R_CONTEST_PARTY_ROLE,SOURCE
421,R_SOURCE,SOURCE,R_CONT_EXTEND_COND,SOURCE
422,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_CONT_INSUR_ELECT,ROW_QUALITY
423,R_SOURCE,SOURCE,R_CONT_PROV_XREF_TYPE,SOURCE
424,R_SOURCE,SOURCE,R_COUPLING_TYPE,SOURCE
425,R_SOURCE,SOURCE,R_CS_TRANSFORM_TYPE,SOURCE
426,SOURCE_DOCUMENT,SOURCE_DOCUMENT,R_CS_TRANSFORM_TYPE,SOURCE_DOCUMENT
427,R_SOURCE,SOURCE,R_CURVE_TYPE,SOURCE
428,R_SOURCE,SOURCE,R_DATA_STORE_TYPE,SOURCE
429,R_SOURCE,SOURCE,R_DATUM_ORIGIN,SOURCE
430,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_DECLINE_COND_CODE,ROW_QUALITY
431,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_DIGITAL_FORMAT,ROW_QUALITY
432,R_SOURCE,SOURCE,R_DOC_STATUS,SOURCE
433,R_SOURCE,SOURCE,R_DRILL_BIT_CONDITION,SOURCE
434,R_DRILL_BIT_DETAIL_TYPE,BIT_DETAIL_TYPE,R_DRILL_BIT_DETAIL_CODE,BIT_DETAIL_TYPE
435,R_SOURCE,SOURCE,R_DRILL_BIT_JET_TYPE,SOURCE
436,R_SOURCE,SOURCE,R_DRILL_TOOL_TYPE,SOURCE
437,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_ENHANCED_REC_TYPE,ROW_QUALITY
438,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_EQUIP_COMPONENT_TYPE,ROW_QUALITY
439,R_SOURCE,SOURCE,R_EQUIP_MAINT_REASON,SOURCE
440,R_SOURCE,SOURCE,R_EQUIP_REMOVE_REASON,SOURCE
441,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_EQUIP_SPEC,ROW_QUALITY
442,R_SOURCE,SOURCE,R_EQUIP_XREF_TYPE,SOURCE
443,R_SOURCE,SOURCE,R_FACILITY_CLASS,SOURCE
444,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_FACILITY_SPEC_TYPE,ROW_QUALITY
445,R_SOURCE,SOURCE,R_FACILITY_SPEC_TYPE,SOURCE
446,R_SOURCE,SOURCE,R_FACILITY_STATUS,SOURCE
447,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_FAC_LIC_EXTEND_TYPE,ROW_QUALITY
448,R_SOURCE,SOURCE,R_FAC_MAINT_STATUS_TYPE,SOURCE
