TABLE_NAME,COLUMN_NAME,SOURCETABLENAME,SOURCECOLUMNNAME
R_ITEM_CATEGORY,ITEM_CATEGORY,R_ITEM_SUB_CATEGORY,ITEM_CATEGORY
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_LAND_BID_STATUS,ROW_QUALITY
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_LAND_CASH_BID_TYPE,ROW_QUALITY
R_SOURCE,SOURCE,R_LAND_CASH_BID_TYPE,SOURCE
R_SOURCE,SOURCE,R_LAND_PROPERTY_TYPE,SOURCE
R_SOURCE,SOURCE,R_LAND_RENTAL_TYPE,SOURCE
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_LITH_COLOR,ROW_QUALITY
R_SOURCE,SOURCE,R_LITH_COMPONENT,SOURCE
R_SOURCE,SOURCE,R_LITH_CONTAMINANT,SOURCE
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_LITH_CONTAMINANT,ROW_QUALITY
R_SOURCE,SOURCE,R_LITH_DISTRIBUTION,SOURCE
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_LITH_ROCK_TYPE,ROW_QUALITY
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_LITH_SORTING,ROW_QUALITY
R_SOURCE,SOURCE,R_LOCATION_QUALIFIER,SOURCE
R_SOURCE,SOURCE,R_LOCATION_QUALITY,SOURCE
R_SOURCE,SOURCE,R_LOG_ARRAY_DIMENSION,SOURCE
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_LOG_GOOD_VALUE_TYPE,ROW_QUALITY
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_LOG_POSITION_TYPE,ROW_QUALITY
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_LOST_MATERIAL_TYPE,ROW_QUALITY
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_LR_TERMIN_REQMT,ROW_QUALITY
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_LR_XREF_TYPE,ROW_QUALITY
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_MBAL_COMPRESS_TYPE,ROW_QUALITY
R_SOURCE,SOURCE,R_MBAL_CURVE_TYPE,SOURCE
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_MUD_LOG_COLOR,ROW_QUALITY
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_NODE_POSITION,ROW_QUALITY
R_SOURCE,SOURCE,R_NOTIFICATION_COMP_TYPE,SOURCE
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_NOTIFICATION_TYPE,ROW_QUALITY
R_SOURCE,SOURCE,R_NS_START_LINE,SOURCE
R_SOURCE,SOURCE,R_OBLIG_CALC_METHOD,SOURCE
R_SOURCE,SOURCE,R_OBLIG_CALC_POINT,SOURCE
R_SOURCE,SOURCE,R_OBLIG_COMPONENT_TYPE,SOURCE
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_OBLIG_TRIGGER,ROW_QUALITY
R_SOURCE,SOURCE,R_OIL_TYPE,SOURCE
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_PALEO_INTERP_TYPE,ROW_QUALITY
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_PAYMENT_TYPE,ROW_QUALITY
R_SOURCE,SOURCE,R_PAY_DETAIL_TYPE,SOURCE
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_PDEN_COMPONENT_TYPE,ROW_QUALITY
R_SOURCE,SOURCE,R_PDEN_STATUS,SOURCE
R_SOURCE,SOURCE,R_PDEN_XREF_TYPE,SOURCE
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_PHYSICAL_ITEM_STATUS,ROW_QUALITY
